,amount_funded,project_goal,number_backers,category_Accessories,category_Animation,category_Anthologies,category_Apparel,category_Apps,category_Art,category_Art Books,category_Camera Equipment,category_Children's Books,category_Comedy,category_Comic Books,category_Comics,category_DIY Electronics,category_Design,category_Documentary,category_Fashion,category_Fiction,category_Film &amp; Video,category_Food,category_Footwear,category_Gadgets,category_Games,category_Graphic Design,category_Graphic Novels,category_Hardware,category_Illustration,category_Indie Rock,category_Music,category_Narrative Film,category_Nonfiction,category_Periodicals,category_Playing Cards,category_Product Design,category_Publishing,category_Robots,category_Rock,category_Software,category_Sound,category_Tabletop Games,category_Technology,category_Video Games,category_Wearables,category_Web,category_Webcomics,category_Webseries,currency_aud,currency_cad,currency_eur,currency_gbp,currency_usd,"location_Albuquerque, NM","location_Ann Arbor, MI","location_Atlanta, GA","location_Austin, TX","location_Berlin, Germany","location_Boston, MA","location_Boulder, CO","location_Brooklyn, NY","location_Cambridge, MA","location_Cambridge, UK","location_Charlotte, NC","location_Chicago, IL","location_Columbus, OH","location_Dallas, TX","location_Denver, CO","location_Hong Kong, Hong Kong","location_Houston, TX","location_Indianapolis, IN","location_Las Vegas, NV","location_Layton, UT","location_London, UK","location_Los Angeles, CA","location_Macungie, PA","location_Melbourne, AU","location_Miami, FL","location_Montreal, Canada","location_Mountain Green, UT","location_Mountain View, CA","location_Nashville, TN","location_New York, NY","location_Oakland, CA","location_Orlando, FL","location_Palo Alto, CA","location_Paris, France","location_Philadelphia, PA","location_Phoenix, AZ","location_Pittsburgh, PA","location_Portland, OR","location_Provo, UT","location_Richmond, VA","location_Sacramento, CA","location_Salt Lake City, UT","location_San Diego, CA","location_San Francisco, CA","location_San Jose, CA","location_Seattle, WA","location_St. Louis, MO","location_Tokyo, Japan","location_Toronto, Canada","location_Tucson, AZ","location_Vancouver, Canada","location_Washington, DC",cluster_label
0,0.351533015854,0.0762892470767,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
1,0.170105551911,0.0610303804035,0.998883928571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2,0.0518345927434,0.0254263581663,0.998325892857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,0.622076876549,0.254309358263,0.99609375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7
4,0.317320225246,0.254309358263,0.993024553571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
5,0.244098378811,0.178015024897,0.984095982143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
6,0.443907976453,0.0508578026215,0.983537946429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.411085932375,0.508623802815,0.982979910714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
8,0.310664661833,0.101720691532,0.970145089286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
9,0.419645519368,0.508623802815,0.969308035714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
10,0.322998219504,0.254309358263,0.966796875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
